# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov  7 13:44:30 2023
#
# User preference: *
#
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_eccen_err1: Eccentricity Upper Unc.
# COLUMN koi_eccen_err2: Eccentricity Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_incl_err1:  Inclination Upper Unc. [deg]
# COLUMN koi_incl_err2:  Inclination Lower Unc. [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_dor_err1:   Planet-Star Distance over Star Radius Upper Unc.
# COLUMN koi_dor_err2:   Planet-Star Distance over Star Radius Lower Unc.
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
CONFIRMED,CANDIDATE,2.470613377,2.7000000e-08,-2.7000000e-08,0,,,1.74319,0.00107,-0.00107,13.04,5.100e-01,-5.100e-01,0.0354,,,84.41,,,1339.0,,,8.397700,0.026900,-0.026900,5820.00,78.00,-78.00,0.9640,0.0380,-0.0380,0.9710,0.0620,-0.0560
CONFIRMED,CANDIDATE,2.204735417,4.3000000e-08,-4.3000000e-08,0,,,3.88864,0.00203,-0.00203,16.10,8.100e-01,-9.100e-01,0.0376,,,87.21,,,2048.0,,,4.602000,0.345000,-0.345000,6440.00,76.00,-89.00,1.9520,0.0990,-0.1100,1.4490,0.0700,-0.0910
CONFIRMED,CANDIDATE,3.522498429,1.9800000e-07,-1.9800000e-07,0,,,3.19843,0.00653,-0.00653,14.59,1.110e+00,-1.110e+00,0.0473,,,85.20,,,1521.0,,,7.541000,0.171000,-0.171000,6225.00,112.00,-137.00,1.4510,0.1100,-0.1100,1.1320,0.1080,-0.0780
CONFIRMED,CANDIDATE,3.709214104,6.5360000e-06,-6.5360000e-06,0,,,2.63020,0.04270,-0.04270,1.16,1.700e-01,-1.200e-01,0.0465,,,89.73,,,1206.0,,,10.888000,0.398000,-0.398000,5833.00,105.00,-117.00,1.0220,0.1430,-0.1070,0.9740,0.0660,-0.0660
FALSE POSITIVE,FALSE POSITIVE,11.521446064,1.9800000e-06,-1.9800000e-06,0,,,3.63990,0.01140,-0.01140,150.51,3.976e+01,-1.331e+01,0.0978,,,83.13,,,753.0,,,20.750000,9.400000,-9.400000,5795.00,155.00,-172.00,0.8480,0.2240,-0.0750,0.9380,0.0980,-0.1090
FALSE POSITIVE,FALSE POSITIVE,19.403937760,2.0680000e-05,-2.0680000e-05,0,,,12.21550,0.05980,-0.05980,7.18,7.600e-01,-6.800e-01,0.1230,,,84.93,,,523.0,,,9.099000,0.257000,-0.257000,5043.00,151.00,-151.00,0.6800,0.0720,-0.0650,0.6570,0.0850,-0.0360
FALSE POSITIVE,FALSE POSITIVE,19.221388942,1.1230000e-06,-1.1230000e-06,0,,,4.79843,0.00235,-0.00235,49.29,1.603e+01,-5.000e+00,0.1417,,,88.05,,,698.0,,,31.323000,0.131000,-0.131000,6117.00,182.00,-200.00,0.9470,0.3080,-0.0960,1.0250,0.1390,-0.1390
FALSE POSITIVE,FALSE POSITIVE,16.469837740,1.3610000e-05,-1.3610000e-05,0,,,9.43780,0.06000,-0.06000,7.94,8.900e-01,-8.900e-01,0.1147,,,88.81,,,595.0,,,14.050000,1.500000,-1.500000,5152.00,168.00,-153.00,0.7860,0.0880,-0.0880,0.7410,0.1060,-0.0570
CONFIRMED,CANDIDATE,9.273581730,1.0370000e-05,-1.0370000e-05,0,,,3.28750,0.03090,-0.03090,2.47,2.000e-01,-2.400e-01,0.0759,,,88.93,,,649.0,,,20.650000,5.600000,-5.600000,4856.00,131.00,-146.00,0.6960,0.0560,-0.0680,0.6760,0.0880,-0.0470
CONFIRMED,CANDIDATE,6.029303290,5.5090000e-06,-5.5090000e-06,0,,,1.58210,0.03110,-0.03110,2.85,2.600e-01,-1.500e-01,0.0585,,,89.50,,,678.0,,,29.310000,4.100000,-4.100000,4537.00,123.00,-123.00,0.6720,0.0620,-0.0360,0.7610,0.0330,-0.0670
FALSE POSITIVE,FALSE POSITIVE,2.696370652,7.5340000e-06,-7.5340000e-06,0,,,3.61290,0.06860,-0.06860,1.58,1.300e-01,-1.600e-01,0.0349,,,89.56,,,1066.0,,,5.827000,0.162000,-0.162000,4989.00,149.00,-149.00,0.8190,0.0670,-0.0820,0.7810,0.0780,-0.0560
CONFIRMED,CANDIDATE,5.349553819,8.8340000e-06,-8.8340000e-06,0,,,3.02780,0.04710,-0.04710,2.55,1.600e-01,-2.400e-01,0.0563,,,89.62,,,919.0,,,13.801500,0.049600,-0.049600,5185.00,85.00,-77.00,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
CONFIRMED,CANDIDATE,3.941052210,1.0940000e-05,-1.0940000e-05,0,,,2.59840,0.07370,-0.07370,1.70,1.100e-01,-1.600e-01,0.0460,,,88.88,,,1018.0,,,11.510000,2.400000,-2.400000,5185.00,85.00,-77.00,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
CONFIRMED,CANDIDATE,8.109048070,6.7870000e-05,-6.7870000e-05,0,,,3.59600,0.19800,-0.19800,1.30,9.000e-02,-1.200e-01,0.0743,,,89.92,,,800.0,,,17.460000,2.700000,-2.700000,5185.00,85.00,-77.00,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
FALSE POSITIVE,FALSE POSITIVE,386.603052800,1.3690000e-04,-1.3690000e-04,0,,,6.80570,0.01840,-0.01840,41.50,1.680e+00,-1.680e+00,1.0719,,,89.95,,,297.0,,,332.000000,22.200000,-22.200000,5543.00,79.00,-79.00,1.5800,0.0640,-0.0640,1.1030,0.0970,-0.0970
CONFIRMED,CANDIDATE,21.676991930,7.0100000e-05,-7.0100000e-05,0,,,3.45550,0.06560,-0.06560,2.95,1.200e-01,-2.300e-01,0.1408,,,87.91,,,530.0,,,24.600000,11.600000,-11.600000,4954.00,79.00,-79.00,0.8280,0.0320,-0.0650,0.7910,0.0500,-0.0290
CONFIRMED,CANDIDATE,4.996779680,1.3890000e-05,-1.3890000e-05,0,,,2.17170,0.07620,-0.07620,2.78,5.200e-01,-2.300e-01,0.0559,,,86.90,,,917.0,,,13.140000,5.100000,-5.100000,5339.00,175.00,-159.00,0.8470,0.1610,-0.0690,0.9310,0.0630,-0.0940
CONFIRMED,CANDIDATE,4.280963604,6.1410000e-06,-6.1410000e-06,0,,,2.87500,0.04200,-0.04200,2.30,5.800e-01,-1.900e-01,0.0503,,,87.72,,,1012.0,,,10.640000,3.900000,-3.900000,5644.00,152.00,-169.00,0.8310,0.2070,-0.0690,0.9280,0.0940,-0.1150
FALSE POSITIVE,FALSE POSITIVE,1.506354090,4.7000000e-07,-4.7000000e-07,0,,,1.51550,0.04830,-0.04830,4.53,1.010e+00,-4.400e-01,0.0250,,,79.38,,,1452.0,,,4.670000,1.800000,-1.800000,5714.00,155.00,-172.00,0.8310,0.1860,-0.0800,0.9260,0.0900,-0.1100
FALSE POSITIVE,FALSE POSITIVE,670.645531000,1.2370000e-03,-1.2370000e-03,0,,,53.41200,0.13100,-0.13100,14.14,2.130e+00,-7.100e-01,1.5155,,,89.53,,,196.0,,,85.240000,1.500000,-1.500000,5520.00,100.00,-111.00,0.9830,0.1480,-0.0490,1.0300,0.0420,-0.0580
FALSE POSITIVE,FALSE POSITIVE,61.256362800,1.5600000e-04,-1.5600000e-04,0,,,7.63300,0.10500,-0.10500,39.87,1.279e+01,-5.480e+00,0.3137,,,87.54,,,505.0,,,29.100000,14.400000,-14.400000,6144.00,184.00,-220.00,1.0910,0.3500,-0.1500,1.0930,0.1660,-0.1350
CONFIRMED,CANDIDATE,38.377548600,1.6020000e-04,-1.6020000e-04,0,,,5.58800,0.11300,-0.11300,2.82,3.700e-01,-3.400e-01,0.2163,,,89.44,,,529.0,,,47.800000,22.500000,-22.500000,5481.00,82.00,-74.00,1.0360,0.1380,-0.1240,0.9150,0.0610,-0.0420
CONFIRMED,CANDIDATE,41.197255020,9.3450000e-05,-9.3450000e-05,0,,,4.62970,0.06330,-0.06330,3.86,1.500e-01,-3.300e-01,0.2170,,,89.96,,,439.0,,,70.750000,2.100000,-2.100000,5031.00,75.00,-83.00,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
CONFIRMED,CANDIDATE,6.252962249,9.5770000e-06,-9.5770000e-06,0,,,2.58190,0.04260,-0.04260,2.65,1.000e-01,-2.300e-01,0.0617,,,89.68,,,823.0,,,18.940000,0.842000,-0.842000,5031.00,75.00,-83.00,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
CONFIRMED,CANDIDATE,16.013084190,4.8540000e-05,-4.8540000e-05,0,,,3.25540,0.07910,-0.07910,3.10,3.400e-01,-3.100e-01,0.1148,,,88.14,,,593.0,,,24.700000,11.800000,-11.800000,5015.00,164.00,-149.00,0.8260,0.0910,-0.0820,0.7850,0.0850,-0.0560
CONFIRMED,CANDIDATE,32.628766720,5.8010000e-05,-5.8010000e-05,0,,,4.79710,0.05800,-0.05800,3.36,7.600e-01,-3.300e-01,0.1889,,,89.98,,,506.0,,,53.950000,1.500000,-1.500000,5586.00,152.00,-152.00,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
CONFIRMED,CANDIDATE,91.773286200,7.5180000e-04,-7.5180000e-04,0,,,6.47300,0.20400,-0.20400,2.12,4.800e-01,-2.100e-01,0.3764,,,89.61,,,359.0,,,89.400000,37.800000,-37.800000,5586.00,152.00,-152.00,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
CONFIRMED,CANDIDATE,4.959319244,5.1500000e-07,-5.1500000e-07,0,,,2.22739,0.00750,-0.00750,12.21,1.960e+00,-1.460e+00,0.0565,,,86.15,,,1103.0,,,12.386000,0.466000,-0.466000,5712.00,77.00,-77.00,1.0820,0.1730,-0.1300,0.9760,0.0730,-0.0550
FALSE POSITIVE,FALSE POSITIVE,2.701287801,5.6340000e-06,-5.6340000e-06,0,,,3.38270,0.08920,-0.08920,6.54,1.640e+00,-7.500e-01,0.0365,,,62.69,,,1222.0,,,2.220000,1.100000,-1.100000,5550.00,182.00,-182.00,0.9100,0.2280,-0.1050,0.8890,0.1020,-0.0830
CONFIRMED,CANDIDATE,4.498765110,1.7770000e-05,-1.7770000e-05,0,,,3.73620,0.09340,-0.09340,2.10,6.500e-01,-2.200e-01,0.0542,,,88.00,,,1133.0,,,8.950000,1.900000,-1.900000,6075.00,189.00,-210.00,0.9690,0.3000,-0.1000,1.0480,0.1390,-0.1390
FALSE POSITIVE,FALSE POSITIVE,19.651209505,5.8620000e-06,-5.8620000e-06,0,,,5.25140,0.01790,-0.01790,12.42,3.920e+00,-1.690e+00,0.1433,,,88.27,,,730.0,,,23.980000,2.100000,-2.100000,6074.00,168.00,-210.00,1.0630,0.3360,-0.1440,1.0140,0.1530,-0.1260
CONFIRMED,CANDIDATE,5.412203927,3.0520000e-06,-3.0520000e-06,0,,,2.94720,0.02400,-0.02400,2.94,4.300e-01,-3.800e-01,0.0591,,,85.12,,,1093.0,,,9.250000,4.500000,-4.500000,5779.00,104.00,-115.00,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
CONFIRMED,CANDIDATE,41.439586620,7.5570000e-05,-7.5570000e-05,0,,,10.59890,0.08800,-0.08800,5.50,1.570e+00,-9.600e-01,0.2288,,,89.31,,,516.0,,,29.470000,6.400000,-6.400000,5468.00,180.00,-164.00,1.0460,0.2970,-0.1830,0.9300,0.0920,-0.0740
CONFIRMED,CANDIDATE,8.353895230,1.5240000e-05,-1.5240000e-05,0,,,2.25140,0.05180,-0.05180,2.52,5.400e-01,-2.400e-01,0.0768,,,89.95,,,790.0,,,29.180000,1.700000,-1.700000,5592.00,152.00,-152.00,0.7870,0.1690,-0.0730,0.8620,0.0890,-0.0970
CONFIRMED,CANDIDATE,4.125543472,3.1330000e-06,-3.1330000e-06,0,,,3.17440,0.03620,-0.03620,4.43,1.440e+00,-5.100e-01,0.0529,,,85.95,,,1243.0,,,8.450000,2.700000,-2.700000,6174.00,173.00,-239.00,1.1030,0.3580,-0.1280,1.1620,0.1580,-0.1580
CONFIRMED,CANDIDATE,2.816504904,1.6500000e-07,-1.6500000e-07,0,,,2.50587,0.00666,-0.00666,12.21,1.620e+00,-8.700e-01,0.0383,,,89.37,,,1219.0,,,9.571000,0.595000,-0.595000,5532.00,74.00,-83.00,0.9550,0.1270,-0.0680,0.9410,0.0530,-0.0470
FALSE POSITIVE,FALSE POSITIVE,33.933734470,6.1540000e-05,-6.1540000e-05,0,,,14.56100,0.10400,-0.10400,7.34,9.000e-01,-6.000e-01,0.1881,,,86.45,,,430.0,,,13.120000,0.516000,-0.516000,5040.00,136.00,-151.00,0.7050,0.0860,-0.0580,0.7820,0.0630,-0.0870
CONFIRMED,CANDIDATE,3.689920099,8.9820000e-06,-8.9820000e-06,0,,,2.65570,0.06770,-0.06770,1.89,5.400e-01,-2.000e-01,0.0469,,,89.19,,,1147.0,,,10.710000,1.200000,-1.200000,5880.00,157.00,-192.00,0.9170,0.2620,-0.0980,1.0100,0.1160,-0.1390
CONFIRMED,CANDIDATE,4.431238488,6.1060000e-06,-6.1060000e-06,0,,,3.15000,0.04230,-0.04230,3.25,4.700e-01,-2.500e-01,0.0529,,,87.72,,,1104.0,,,10.190000,3.700000,-3.700000,5714.00,77.00,-77.00,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620
CONFIRMED,CANDIDATE,11.379369860,2.4150000e-05,-2.4150000e-05,0,,,2.62550,0.07300,-0.07300,3.95,5.700e-01,-3.100e-01,0.0993,,,86.80,,,806.0,,,16.310000,8.100000,-8.100000,5714.00,77.00,-77.00,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620
CONFIRMED,CANDIDATE,26.394328970,5.7240000e-05,-5.7240000e-05,0,,,3.57300,0.06430,-0.06430,3.07,4.100e-01,-2.200e-01,0.1635,,,89.28,,,489.0,,,47.700000,20.700000,-20.700000,5129.00,154.00,-154.00,0.7630,0.1030,-0.0550,0.8460,0.0640,-0.0880
CONFIRMED,CANDIDATE,13.570782810,1.5850000e-05,-1.5850000e-05,0,,,3.35390,0.04890,-0.04890,2.64,4.000e-01,-2.700e-01,0.1096,,,87.07,,,785.0,,,16.930000,7.900000,-7.900000,5854.00,105.00,-117.00,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
CONFIRMED,CANDIDATE,7.125943870,1.4060000e-05,-1.4060000e-05,0,,,3.00140,0.03840,-0.03840,1.79,2.600e-01,-2.300e-01,0.0711,,,84.02,,,997.0,,,8.620000,4.200000,-4.200000,5779.00,104.00,-115.00,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
FALSE POSITIVE,FALSE POSITIVE,7.442652004,7.0200000e-07,-7.0200000e-07,0,,,2.30780,0.01290,-0.01290,15.03,4.730e+00,-1.580e+00,0.0742,,,89.72,,,967.0,,,27.990000,4.800000,-4.800000,6108.00,183.00,-201.00,0.9560,0.3010,-0.1000,0.9810,0.1280,-0.1280
CONFIRMED,CANDIDATE,16.384899880,5.2190000e-05,-5.2190000e-05,0,,,3.02490,0.07980,-0.07980,2.00,9.000e-02,-1.000e-01,0.1084,,,90.00,,,433.0,,,42.620000,2.500000,-2.500000,4126.00,82.00,-82.00,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
CONFIRMED,CANDIDATE,7.877416300,1.4930000e-05,-1.4930000e-05,0,,,2.08050,0.05170,-0.05170,2.16,9.000e-02,-1.100e-01,0.0665,,,89.92,,,553.0,,,29.840000,1.100000,-1.100000,4126.00,82.00,-82.00,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
CONFIRMED,CANDIDATE,36.445400100,1.8090000e-04,-1.8090000e-04,0,,,4.00700,0.12600,-0.12600,1.99,9.000e-02,-9.000e-02,0.1847,,,89.98,,,332.0,,,71.530000,2.900000,-2.900000,4126.00,82.00,-82.00,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
CONFIRMED,CANDIDATE,3.728732147,9.3600000e-07,-9.3600000e-07,0,,,2.68300,0.03500,-0.03500,6.02,1.220e+00,-5.200e-01,0.0455,,,86.70,,,1023.0,,,9.700000,3.100000,-3.100000,5497.00,166.00,-149.00,0.8090,0.1640,-0.0700,0.9070,0.0740,-0.1020
CANDIDATE,CANDIDATE,40.419503700,1.1390000e-04,-1.1390000e-04,0,,,3.36200,0.14000,-0.14000,7.51,1.120e+00,-9.100e-01,0.2062,,,89.05,,,467.0,,,54.700000,24.100000,-24.100000,5446.00,179.00,-163.00,0.7810,0.1160,-0.0950,0.7140,0.1040,-0.0370
CONFIRMED,CANDIDATE,2.243380573,2.6700000e-06,-2.6700000e-06,0,,,1.11960,0.03840,-0.03840,1.99,1.000e-01,-1.200e-01,0.0280,,,82.88,,,822.0,,,7.380000,3.600000,-3.600000,4149.00,82.00,-91.00,0.5640,0.0300,-0.0330,0.5780,0.0270,-0.0370
FALSE POSITIVE,FALSE POSITIVE,10.405998015,2.5150000e-06,-2.5150000e-06,0,,,6.50360,0.01450,-0.01450,11.23,2.920e+00,-1.950e+00,0.0855,,,88.57,,,833.0,,,13.012000,0.955000,-0.955000,5746.00,173.00,-173.00,0.9240,0.2410,-0.1600,0.7700,0.1180,-0.0470
CONFIRMED,CANDIDATE,2.337437946,1.9510000e-06,-1.9510000e-06,0,,,1.99820,0.02710,-0.02710,2.34,1.700e-01,-9.000e-02,0.0325,,,88.19,,,1070.0,,,8.860000,1.300000,-1.300000,5005.00,79.00,-79.00,0.7650,0.0550,-0.0280,0.8500,0.0250,-0.0540
CANDIDATE,CANDIDATE,7.240661200,1.6170000e-05,-1.6170000e-05,0,,,0.55800,0.17100,-0.17100,19.45,1.400e+00,-7.100e-01,0.0692,,,87.62,,,734.0,,,28.800000,14.400000,-14.400000,5005.00,79.00,-79.00,0.7650,0.0550,-0.0280,0.8500,0.0250,-0.0540
CANDIDATE,CANDIDATE,3.435916310,4.7290000e-05,-4.7290000e-05,0,,,3.13300,0.40700,-0.40700,0.55,8.000e-02,-7.000e-02,0.0437,,,84.62,,,1272.0,,,6.650000,3.000000,-3.000000,5779.00,104.00,-115.00,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
CONFIRMED,CANDIDATE,11.598222330,1.4070000e-05,-1.4070000e-05,0,,,2.52370,0.05200,-0.05200,2.65,2.100e-01,-2.900e-01,0.0798,,,88.62,,,396.0,,,28.200000,11.800000,-11.800000,3688.00,73.00,-91.00,0.4730,0.0370,-0.0510,0.5030,0.0350,-0.0530
CONFIRMED,CANDIDATE,6.575315881,3.7260000e-06,-3.7260000e-06,0,,,4.30840,0.03060,-0.03060,5.31,1.500e+00,-8.100e-01,0.0670,,,88.03,,,1015.0,,,11.370000,3.000000,-3.000000,5992.00,162.00,-180.00,0.9890,0.2800,-0.1510,0.9270,0.1290,-0.0970
CONFIRMED,CANDIDATE,7.275040844,4.6770000e-06,-4.6770000e-06,0,,,7.53770,0.06810,-0.06810,4.86,1.050e+00,-3.700e-01,0.0732,,,85.29,,,833.0,,,6.660000,2.900000,-2.900000,5485.00,164.00,-180.00,0.8670,0.1870,-0.0670,0.9860,0.0650,-0.1150
